title,studio,lifetime_gross,movieId,imdbId,tmdbId,mediaType,imdb_ratingCount,imdb_bestRating,imdb_worstRating,imdb_averageRating,contentRating,smallLensRatingCount,smallLensRatingAvg,title_lowercase,genres,smallLensTagCount,releaseYear,releaseMonth,nconst,tconst,titleType,primaryTitle,originalTitle,numVotes,directors,writers,category,primaryName,startYear,runtimeMinutes,averageRating,isAdult
Arlington Road,Sony,24756177,2707,tt0137363,1073,movie,90748,10,1,7.2,r,22,3.27,arlington road (1999),thriller,"",1999,7,nm0000313,tt0137363,movie,Arlington Road,Arlington Road,90628,nm0671210,nm0472567,actor,Jeff Bridges,1999,117,7,0
The Boys,Strat.,3146,2695,tt0139898,13821,movie,1660,10,1,6.9,r,1,2.0,boys  the (1998),drama,"",1998,5,nm0920992,tt0139898,movie,The Boys,The Boys,1659,nm0940774,"nm0786601,nm0334064",actor,David Wenham,1998,86,6,0
Central Station,SPC,5596708,2357,tt0140888,666,movie,41564,10,1,8.0,r,6,4.42,central station (central do brasil) (1998),drama,1,1998,11,nm0005244,tt0140888,movie,Central Station,Central do Brasil,41507,nm0758574,"nm0077094,nm0138676,nm0758574",actress,Fernanda Montenegro,1998,110,8,0
Enigma,Manh,4301582,5316,tt0157583,10491,"","","","","","",7,3.14,enigma (2001),romance|thriller,1,"","",nm0779084,tt0157583,movie,Enigma,Enigma,21703,nm0000776,"nm0365249,nm0001779",actor,Dougray Scott,2001,119,6,0
Hanging Up,Sony,36050230,3299,tt0162983,10385,movie,13032,10,1,4.8,pg-13,3,2.67,hanging up (2000),comedy|drama,"",2000,2,nm0000473,tt0162983,movie,Hanging Up,Hanging Up,13024,nm0000473,"nm0258286,nm0001188",actress,Diane Keaton,2000,94,4,0
Tigerland,Fox,139692,3950,tt0170691,10687,movie,42715,10,1,6.9,r,8,3.56,tigerland (2000),drama,"",2001,5,nm0268199,tt0170691,movie,Tigerland,Tigerland,42664,nm0001708,"nm0458462,nm0570077",actor,Colin Farrell,2000,101,6,0
What Planet Are You From?,Sony,6291602,3326,tt0181151,10416,movie,9765,10,1,5.6,r,3,3.17,what planet are you from? (2000),comedy|sci-fi,"",2000,3,nm0788009,tt0181151,movie,What Planet Are You From?,What Planet Are You From?,9761,nm0001566,"nm0788009,nm0498775,nm0004412,nm0865847",actor,Garry Shandling,2000,105,5,0
Love's Labour's Lost,Mira.,299792,3719,tt0182295,51333,"","","","","","",2,3.0,love's labour's lost (2000),comedy|romance,"","","",nm0005273,tt0182295,movie,Love's Labour's Lost,Love's Labour's Lost,4828,nm0000110,"nm0000636,nm0000110",actor,Alessandro Nivola,2000,93,5,0
A Knight's Tale,Sony,56569702,4299,tt0183790,9476,movie,197499,10,1,6.9,pg-13,41,3.34,knight's tale  a (2001),action|comedy|romance,"",2001,5,nm0005132,tt0183790,movie,A Knight's Tale,A Knight's Tale,197224,nm0001338,nm0001338,actor,Heath Ledger,2001,132,6,0
Taxi 2,Lions,626164,27193,tt0183869,2332,movie,58219,10,1,6.5,not rated,4,3.88,taxi 2 (2000),action|comedy,"",2000,10,nm0618651,tt0183869,movie,Taxi 2,Taxi 2,58150,nm0470443,nm0000108,actor,Samy Naceri,2000,88,6,0
Reindeer Games,Mira.,23368995,3316,tt0184858,2155,"","","","","","",13,2.46,reindeer games (2000),action|thriller,"","","",nm0000255,tt0184858,movie,Reindeer Games,Reindeer Games,41612,nm0001239,nm0472567,actor,Ben Affleck,2000,104,5,0
Space Cowboys,WB,90464773,3827,tt0186566,5551,movie,84938,10,1,6.5,pg-13,23,2.89,space cowboys (2000),action|adventure|comedy|sci-fi,"",2000,8,nm0000142,tt0186566,movie,Space Cowboys,Space Cowboys,84837,nm0000142,"nm0442190,nm0458439",actor,Clint Eastwood,2000,130,6,0
Sugar & Spice,NL,13305101,4068,tt0186589,16723,movie,15089,10,1,5.7,pg-13,7,2.71,sugar & spice (2001),comedy,"",2001,1,nm0005448,tt0186589,movie,Sugar & Spice,Sugar & Spice,15070,nm0568230,nm0625570,actress,Marla Sokoloff,2001,81,5,0
Bounce,Mira.,36805288,3987,tt0186894,10862,movie,21519,10,1,5.8,pg-13,6,2.42,bounce (2000),drama|romance,"",2000,11,nm0000255,tt0186894,movie,Bounce,Bounce,21508,nm0740400,nm0740400,actor,Ben Affleck,2000,106,5,0
Head Over Heels,Uni.,10424470,4141,tt0192111,24940,movie,15114,10,1,5.4,pg-13,4,2.5,head over heels (2001),comedy|romance,"",2001,2,nm0005321,tt0192111,movie,Head Over Heels,Head Over Heels,15084,nm0914132,"nm0833828,nm0214036,nm0452235,nm0120816",actress,Monica Potter,2001,86,5,0
The Little Vampire,NL,13572400,3974,tt0192255,24100,movie,11282,10,1,5.7,pg,1,3.0,little vampire  the (2000),adventure|children,"",2000,10,nm0005151,tt0192255,movie,The Little Vampire,The Little Vampire,11248,nm0248942,"nm0814008,nm0456732,nm0933733",actor,Jonathan Lipnicki,2000,95,5,0
"Monsters, Inc.",BV,289916256,4886,tt0198781,585,movie,956168,10,1,8.1,g,132,3.87,monsters  inc. (2001),adventure|animation|children|comedy|fantasy,"",2001,11,nm0000345,tt0198781,movie,"Monsters, Inc.","Monsters, Inc.",954623,"nm0230032,nm0798899,nm0881279","nm0230032,nm0191717,nm0682066,nm0250995,nm0004056,nm0314870",actor,Billy Crystal,2001,92,8,0
Red Planet,WB,17480890,3981,tt0199753,8870,"","","","","","",13,2.35,red planet (2000),action|sci-fi|thriller,"","","",nm0000174,tt0199753,movie,Red Planet,Red Planet,59442,nm0388817,"nm0679326,nm0501380",actor,Val Kilmer,2000,106,5,0
Sexy Beast,FoxS,6946056,4378,tt0203119,11826,movie,65167,10,1,7.3,r,14,3.71,sexy beast (2000),crime|drama,"",2001,7,nm0935653,tt0203119,movie,Sexy Beast,Sexy Beast,65064,nm0322242,"nm0578011,nm0778476",actor,Ray Winstone,2000,89,7,0
The Man Who Cried,Focus,747092,4313,tt0206917,29572,movie,16244,10,1,6.1,r,2,3.5,man who cried  the (2000),drama,"",2001,7,nm0000207,tt0206917,movie,The Man Who Cried,The Man Who Cried,16238,nm0006845,nm0006845,actress,Christina Ricci,2000,100,6,0
Get Carter,WB,14967182,3946,tt0208988,10461,movie,36062,10,1,5.1,r,5,2.5,get carter (2000),action|drama|thriller,"",2000,10,nm0000230,tt0208988,movie,Get Carter,Get Carter,35954,nm0443181,"nm0507794,nm0571346",actor,Sylvester Stallone,2000,102,5,0
Remember the Titans,BV,115654751,3916,tt0210945,10637,movie,227474,10,1,7.8,pg,41,3.74,remember the titans (2000),drama,"",2000,9,nm0000243,tt0210945,movie,Remember the Titans,Remember the Titans,227152,nm0945026,nm0397322,actor,Denzel Washington,2000,113,7,0
Meet the Parents,Uni.,166244045,3948,tt0212338,1597,"","","","","","",91,3.42,meet the parents (2000),comedy,2,"","",nm0001774,tt0212338,movie,Meet the Parents,Meet the Parents,348514,nm0005366,"nm0322839,nm0164898,nm0381272,nm0357453",actor,Ben Stiller,2000,108,7,0
Secret Society,FRun,4725,8632,tt0217788,161080,movie,184,10,1,5.3,pg,1,0.5,secret society (2002),comedy,"",2001,12,nm0110083,tt0217788,movie,Secret Society,Secret Society,184,nm0453993,"nm0453993,nm0569621",actress,Charlotte Brittain,2000,98,5,0
Brother,SPC,450594,4640,tt0222851,327,movie,24068,10,1,7.1,"",4,3.75,brother (2000),action|crime|thriller,"",2000,12,nm0001429,tt0222851,movie,Brother,Brother,24051,nm0001429,nm0001429,actor,Takeshi Kitano,2000,114,7,0
Proof of Life,WB,32598931,3998,tt0228750,11983,movie,58464,10,1,6.3,r,12,3.04,proof of life (2000),drama,"",2000,12,nm0000212,tt0228750,movie,Proof of Life,Proof of Life,58435,nm0000431,"nm0006904,nm0698295,nm0362998",actress,Meg Ryan,2000,135,6,0
Josie and the Pussycats,Uni.,14271015,4248,tt0236348,19366,"","","","","","",6,1.75,josie and the pussycats (2001),comedy,"","","",nm0000337,tt0236348,movie,Josie and the Pussycats,Josie and the Pussycats,24363,"nm0253323,nm0438226","nm0438226,nm0253323,nm0326406,nm0213642,nm0326402",actress,Rachael Leigh Cook,2001,98,5,0
The Original Kings of Comedy,Par.,38182790,3865,tt0236388,23618,movie,5998,10,1,6.8,r,4,3.25,original kings of comedy  the (2000),comedy|documentary,"",2000,8,nm0367724,tt0236388,movie,The Original Kings of Comedy,The Original Kings of Comedy,5994,nm0000490,"nm0147825,nm0367724,nm0401018,nm0005170",self,Steve Harvey,2000,115,6,0
"Dude, Where's My Car?",Fox,46729800,4015,tt0242423,8859,"","","","","","",33,2.73,dude  where's my car? (2000),comedy|sci-fi,1,"","",nm0005110,tt0242423,movie,"Dude, Where's My Car?","Dude, Where's My Car?",144135,nm0500444,nm0823255,actor,Ashton Kutcher,2000,83,5,0
Charlotte Gray,WB,741394,5011,tt0245046,12660,movie,13045,10,1,6.4,pg-13,2,3.75,charlotte gray (2001),drama|romance,"",2002,1,nm0000949,tt0245046,movie,Charlotte Gray,Charlotte Gray,13031,nm0000788,"nm0269127,nm0110591",actress,Cate Blanchett,2001,121,6,0
Surviving Christmas,DW,11663156,8946,tt0252028,15566,movie,26318,10,1,5.4,pg-13,2,2.75,surviving christmas (2004),comedy,"",2004,10,nm0000255,tt0252028,movie,Surviving Christmas,Surviving Christmas,26273,nm0593610,"nm0438226,nm0253323,nm0893262,nm0827985",actor,Ben Affleck,2004,91,5,0
Reign of Fire,BV,43061982,5463,tt0253556,6278,movie,143413,10,1,6.2,pg-13,18,2.72,reign of fire (2002),action|adventure|fantasy,"",2002,7,nm0000190,tt0253556,movie,Reign of Fire,Reign of Fire,143252,nm0101385,"nm0149305,nm0676270,nm0338557",actor,Matthew McConaughey,2002,101,6,0
Paid in Full,Mira.,3090862,5786,tt0259484,13098,movie,13840,10,1,7.0,r,1,4.5,paid in full (2002),action|drama,"",2002,10,nm0001616,tt0259484,movie,Paid in Full,Paid in Full,13805,nm0831690,"nm1006964,nm0680233,nm1006730,nm0205558",actor,Mekhi Phifer,2002,97,7,0
Don't Say a Word,Fox,55001642,4814,tt0260866,12103,movie,56266,10,1,6.3,r,5,2.5,don't say a word (2001),thriller,"",2001,9,nm0000140,tt0260866,movie,Don't Say a Word,Don't Say a Word,56185,nm0001219,"nm0458461,nm0669756,nm0446761",actor,Michael Douglas,2001,113,6,0
Session 9,USA,378176,4725,tt0261983,10972,movie,61978,10,1,6.4,r,4,3.63,session 9 (2001),horror|thriller,4,2001,9,nm0000325,tt0261983,movie,Session 9,Session 9,61899,nm0026442,"nm0026442,nm0315342",actor,David Caruso,2001,100,6,0
24 Hour Party People,MGM,1184096,5508,tt0274309,2750,"","","","","","",7,3.57,24 hour party people (2002),comedy|drama|musical,"","","",nm0176869,tt0274309,movie,24 Hour Party People,24 Hour Party People,38965,nm0935863,nm0101639,actor,Steve Coogan,2002,117,7,0
Lilo & Stitch,BV,145794338,5444,tt0275847,11544,movie,206063,10,1,7.3,pg,29,3.81,lilo & stitch (2002),adventure|animation|children|sci-fi,"",2002,6,nm0153738,tt0275847,movie,Lilo & Stitch,Lilo & Stitch,205619,"nm0213450,nm0761498","nm0761498,nm0213450",actress,Daveigh Chase,2002,85,7,0
Return to Never Land,BV,48430258,5109,tt0280030,16690,movie,21700,10,1,5.8,g,1,4.0,return to never land (2002),adventure|animation|children,"",2002,2,nm0915814,tt0280030,movie,Return to Never Land,Return to Never Land,21679,"nm1180460,nm0177015","nm0558721,nm0188349,nm0057381",actor,Blayne Weaver,2002,72,5,0
The Guru,Uni.,3095506,6060,tt0280720,9027,movie,15439,10,1,5.4,r,2,3.0,guru  the (2002),comedy|romance,"",2003,2,nm0592993,tt0280720,movie,The Guru,The Guru,15437,nm0902939,nm0414117,actor,Jimi Mistry,2002,94,5,0
Wasabi,TriS,97220,5628,tt0281364,2110,movie,42075,10,1,6.6,r,5,3.5,wasabi (2001),action|comedy|crime|drama|thriller,"",2002,1,nm0000606,tt0281364,movie,Wasabi,Wasabi,42031,nm0470443,nm0000108,actor,Jean Reno,2001,94,6,0
Love Liza,SPC,213137,6002,tt0282698,15395,movie,8442,10,1,6.9,r,3,3.33,love liza (2002),drama,3,2003,1,nm0000450,tt0282698,movie,Love Liza,Love Liza,8432,nm0521974,nm0388896,actor,Philip Seymour Hoffman,2002,90,6,0
White Oleander,WB,16357770,5668,tt0283139,10994,movie,33681,10,1,7.1,pg-13,4,2.5,white oleander (2002),drama,"",2002,10,nm0000201,tt0283139,movie,White Oleander,White Oleander,33651,nm0467225,"nm1433521,nm0232858",actress,Michelle Pfeiffer,2002,109,7,0
The Emperor's Club,Uni.,14118751,5873,tt0283530,17187,movie,17699,10,1,6.9,pg-13,4,3.88,the emperor's club (2002),drama,"",2002,11,nm0000177,tt0283530,movie,The Emperor's Club,The Emperor's Club,17683,nm0001355,"nm0133982,nm0866063",actor,Kevin Kline,2002,109,6,0
Fulltime Killer,Palm,23124,6506,tt0286635,9581,movie,6731,10,1,6.8,r,1,3.5,fulltime killer (chuen jik sat sau) (2001),action|thriller,"",2001,8,nm0490489,tt0286635,movie,Fulltime Killer,Chuen zik saat sau,6726,"nm0864775,nm0906413","nm1001051,nm0906413,nm0639908",actor,Andy Lau,2001,102,6,0
Ghost Ship,WB,30113491,5784,tt0288477,9645,movie,107504,10,1,5.6,r,9,2.5,ghost ship (2002),horror,"",2002,10,nm0000523,tt0288477,movie,Ghost Ship,Ghost Ship,107329,nm0065284,"nm0360144,nm0688282",actress,Julianna Margulies,2002,91,5,0
28 Days Later,FoxS,45064915,6502,tt0289043,170,movie,434419,10,1,7.5,r,58,3.97,28 days later (2002),action|horror|sci-fi,2,2003,6,nm0614165,tt0289043,movie,28 Days Later,28 Days Later...,433874,nm0000965,nm0307497,actor,Cillian Murphy,2002,113,7,0
The Phantom of the Opera,WB,51268815,30816,tt0293508,9833,movie,128612,10,1,7.2,pg-13,12,3.17,phantom of the opera  the (2004),drama|musical|romance,"",2005,1,nm0124930,tt0293508,movie,The Phantom of the Opera,The Phantom of the Opera,128426,nm0001708,"nm0503693,nm0515908,nm0001708",actor,Gerard Butler,2004,143,7,0
Wrong Turn,Fox,15418790,6379,tt0295700,9902,"","","","","","",2,3.0,wrong turn (2003),horror|thriller,"","","",nm0244630,tt0295700,movie,Wrong Turn,Wrong Turn,128556,nm0003343,nm0568416,actress,Eliza Dushku,2003,84,6,0
Taxi 3,Chri.,497208,8605,tt0295721,2334,movie,44883,10,1,5.8,not rated,2,3.25,taxi 3 (2003),action|comedy,"",2003,1,nm0618651,tt0295721,movie,Taxi 3,Taxi 3,44818,nm0470443,nm0000108,actor,Samy Naceri,2003,84,5,0
Auto Focus,SPC,2063196,5680,tt0298744,14112,movie,14691,10,1,6.6,r,3,3.17,auto focus (2002),crime|drama,"",2002,11,nm0001427,tt0298744,movie,Auto Focus,Auto Focus,14678,nm0001707,"nm1172196,nm1069184",actor,Greg Kinnear,2002,105,6,0
Once Upon a Time in the Midlands,SPC,172564,6699,tt0301684,22200,"","","","","","",1,3.0,once upon a time in the midlands (2002),drama,"","","",nm0001015,tt0301684,movie,Once Upon a Time in the Midlands,Once Upon a Time in the Midlands,4690,nm0276349,"nm0292211,nm0276349",actor,Robert Carlyle,2002,104,6,0
May,Lions,150277,6063,tt0303361,10894,"","","","","","",3,3.33,may (2002),drama|horror,1,"","",nm0079374,tt0303361,movie,May,May,39736,nm1031246,nm1031246,actress,Angela Bettis,2002,93,6,0
Just Married,Fox,56127162,6006,tt0305711,12090,movie,73525,10,1,5.5,pg-13,8,2.75,just married (2003),comedy|romance,"",2003,1,nm0005110,tt0305711,movie,Just Married,Just Married,73474,nm0506613,nm0363958,actor,Ashton Kutcher,2003,95,5,0
Bobby,MGM/W,11242801,49280,tt0308055,10741,movie,42620,10,1,7.0,r,3,3.83,bobby (2006),drama,"",2006,11,nm0000164,tt0308055,movie,Bobby,Bobby,42607,nm0000389,nm0000389,actor,Anthony Hopkins,2006,117,7,0
The Shape of Things,Focus,735992,6341,tt0308878,22958,movie,11789,10,1,6.6,r,4,3.25,shape of things  the (2003),drama,1,2003,5,nm0748620,tt0308878,movie,The Shape of Things,The Shape of Things,11785,nm0001438,nm0001438,actor,Paul Rudd,2003,96,6,0
It Runs in the Family,MGM,7491839,6324,tt0311110,31459,movie,5179,10,1,5.5,pg-13,2,2.5,it runs in the family (2003),comedy|drama,"",2003,4,nm0000018,tt0311110,movie,It Runs in the Family,It Runs in the Family,5172,nm0770961,nm0927889,actor,Kirk Douglas,2003,109,5,0
Pieces of April,UA,2528664,6881,tt0311648,1550,"","","","","","",7,3.07,pieces of april (2003),comedy|drama,1,"","",nm0005017,tt0311648,movie,Pieces of April,Pieces of April,21809,nm0373282,nm0373282,actress,Katie Holmes,2003,80,7,0
21 Grams,Focus,16290476,6953,tt0315733,470,movie,243514,10,1,7.6,r,25,3.3,21 grams (2003),crime|drama|mystery|romance|thriller,1,2004,1,nm0000576,tt0315733,movie,21 Grams,21 Grams,243365,nm0327944,nm0037247,actor,Sean Penn,2003,124,7,0
City of God,Mira.,7564459,6016,tt0317248,598,movie,786064,10,1,8.6,r,75,4.15,city of god (cidade de deus) (2002),action|adventure|crime|drama|thriller,6,2004,2,nm1179105,tt0317248,movie,City of God,Cidade de Deus,785073,"nm0576987,nm0526199","nm0513130,nm1130251",actor,Alexandre Rodrigues,2002,130,8,0
Daddy Day Care,SonR,104297061,6338,tt0317303,10708,movie,72575,10,1,5.6,pg,6,2.33,daddy day care (2003),children|comedy,"",2003,5,nm0000552,tt0317303,movie,Daddy Day Care,Daddy Day Care,72496,nm0139867,nm0734900,actor,Eddie Murphy,2003,92,5,0
The Cooler,Lions,8291572,7137,tt0318374,10744,movie,35187,10,1,6.9,r,10,3.55,cooler  the (2003),comedy|drama|romance,"",2004,1,nm0000513,tt0318374,movie,The Cooler,The Cooler,35159,nm0469694,"nm1172243,nm0469694",actor,William H. Macy,2003,101,6,0
Jackass: The Movie,Par.,64255312,5785,tt0322802,9012,"","","","","","",17,3.5,jackass: the movie (2002),action|comedy|documentary,"","","",nm0424216,tt0322802,movie,Jackass: The Movie,Jackass: The Movie,100627,nm0871860,"nm0871860,nm0005069,nm0424216,nm0546640,nm0828177,nm1035634,nm0690686,nm0257424,nm0242756,nm0569199,nm0225164,nm1029269,nm2525534,nm1079524,nm0519671,nm4007510,nm8722262,nm2928258,nm0154074",self,Johnny Knoxville,2002,85,6,0
Pirates of the Caribbean: The Curse of the Black Pearl,BV,305413918,6539,tt0325980,22,movie,1182358,10,1,8.1,pg-13,149,3.78,pirates of the caribbean: the curse of the black pearl (2003),action|adventure|comedy|fantasy,1,2003,7,nm0000136,tt0325980,movie,Pirates of the Caribbean: The Curse of the Black Pearl,Pirates of the Caribbean: The Curse of the Black Pearl,1180488,nm0893659,"nm0254645,nm0744429,nm0064181,nm0938684",actor,Johnny Depp,2003,143,8,0
Martin Lawrence Live: Runteldat,Par.,19184820,5513,tt0327036,20337,movie,1772,10,1,5.4,r,1,5.0,martin lawrence live: runteldat (2002),comedy|documentary,"",2002,8,nm0001454,tt0327036,movie,Martin Lawrence Live: Runteldat,Martin Lawrence Live: Runteldat,1772,nm0713527,nm0001454,self,Martin Lawrence,2002,113,5,0
Dolls,Palm,4067,8327,tt0330229,870,movie,17184,10,1,7.5,"",2,4.25,dolls (2002),drama|romance,"",2002,10,nm0437816,tt0330229,movie,Dolls,Dôruzu,17170,nm0001429,nm0001429,actress,Miho Kanno,2002,114,7,0
The Haunted Mansion,BV,75847266,6958,tt0338094,10756,movie,55846,10,1,5.2,pg,10,2.5,haunted mansion  the (2003),children|comedy|fantasy|horror,"",2003,11,nm0000552,tt0338094,movie,The Haunted Mansion,The Haunted Mansion,55624,nm0591450,nm1183854,actor,Eddie Murphy,2003,99,5,0
Bus 174,Think,217201,6869,tt0340468,8439,movie,8530,10,1,7.8,r,3,3.83,bus 174 (ônibus 174) (2002),crime|documentary,"",2003,8,nm1289413,tt0340468,movie,Bus 174,Ônibus 174,8523,"nm0655683,nm0479884","nm1130251,nm0655683",archive_footage,Sandro do Nascimento,2002,150,7,0
Code 46,UA,285585,8800,tt0345061,2577,movie,20976,10,1,6.1,r,1,4.5,code 46 (2003),romance|sci-fi,"",2004,9,nm0000209,tt0345061,movie,Code 46,Code 46,20966,nm0935863,nm0101639,actor,Tim Robbins,2003,93,6,0
Breakin' All the Rules,SGem,12264319,7457,tt0349169,16428,movie,6326,10,1,5.6,pg-13,1,3.5,breakin' all the rules (2004),comedy|romance,"",2004,5,nm0004937,tt0349169,movie,Breakin' All the Rules,Breakin' All the Rules,6324,nm0850044,nm0850044,actor,Jamie Foxx,2004,85,5,0
Walking Tall,MGM,46437717,7376,tt0351977,11358,movie,108991,10,1,6.3,pg-13,6,3.0,walking tall (2004),action,"",2004,4,nm0425005,tt0351977,movie,Walking Tall,Walking Tall,108920,nm0106230,"nm0109858,nm0458318,nm0316888,nm0505522,nm0002718",actor,Dwayne Johnson,2004,86,6,0
Down to the Bone,L/Z,30241,27769,tt0363579,40876,movie,2412,10,1,6.6,r,1,3.0,down to the bone (2004),drama,"",2005,3,nm0267812,tt0363579,movie,Down to the Bone,Down to the Bone,2410,nm0335138,"nm0228420,nm0335138,nm1439576,nm1420860,nm0517853,nm0532828,nm2627256",actress,Vera Farmiga,2004,104,6,0
Love Me If You Dare,ParC,553504,9010,tt0364517,8424,movie,71913,10,1,7.5,r,5,4.1,love me if you dare (jeux d'enfants) (2003),drama|romance,1,2004,5,nm0133899,tt0364517,movie,Love Me If You Dare,Jeux d'enfants,71876,nm1077168,nm1077168,actor,Guillaume Canet,2003,93,7,0
Without a Paddle,Par.,58169327,8814,tt0364751,10762,movie,50286,10,1,5.8,pg-13,7,2.0,without a paddle (2004),comedy,"",2004,8,nm0000498,tt0364751,movie,Without a Paddle,Without a Paddle,50221,nm0109359,"nm0937748,nm0325214,nm0638218,nm0499343,nm0745861",actor,Matthew Lillard,2004,95,5,0
Revolver,IDP,84738,40148,tt0365686,10851,"","","","","","",7,3.36,revolver (2005),crime|drama|thriller,"","","",nm0005458,tt0365686,movie,Revolver,Revolver,100491,nm0005363,"nm0000108,nm0005363",actor,Jason Statham,2005,111,6,0
Happy Feet,WB,198000317,49274,tt0366548,9836,movie,196296,10,1,6.4,pg,11,2.68,happy feet (2006),adventure|animation|children|comedy|imax,"",2006,11,nm0000704,tt0366548,movie,Happy Feet,Happy Feet,196010,"nm0004306,nm0606688,nm0171253","nm0004306,nm0171722,nm0606688,nm0171253",actor,Elijah Wood,2006,108,6,0
November,SPC,192186,34330,tt0368089,9775,movie,3146,10,1,5.4,r,1,3.0,november (2004),drama|mystery,"",2004,1,nm0001073,tt0368089,movie,November,November,3145,nm0365615,nm0104441,actress,Courteney Cox,2004,73,5,0
Alone in the Dark,Lions,5178569,31424,tt0369226,12142,movie,46720,10,1,2.4,r,1,0.5,alone in the dark (2005),action|horror|sci-fi|thriller,"",2005,1,nm0000225,tt0369226,movie,Alone in the Dark,Alone in the Dark,46707,nm0093051,"nm0997459,nm1178069,nm1396574",actor,Christian Slater,2005,99,2,0
Jurassic World,Uni.,652270625,117529,tt0369610,135397,movie,668607,10,1,6.9,pg-13,23,3.26,jurassic world (2015),action|adventure|drama|sci-fi|thriller,"",2015,6,nm0695435,tt0369610,movie,Jurassic World,Jurassic World,667946,nm1119880,"nm0415425,nm0798646,nm1119880,nm2081046,nm0000341",actor,Chris Pratt,2015,124,6,0
Iron Man,Par.,318412101,59315,tt0371746,1726,movie,1103526,10,1,7.9,pg-13,94,3.82,iron man (2008),action|adventure|sci-fi,"",2008,5,nm0000375,tt0371746,movie,Iron Man,Iron Man,1102029,nm0269463,"nm1318843,nm1319757,nm1436466,nm0391344,nm0498278,nm1411347,nm1293367,nm0456158",actor,Robert Downey Jr.,2008,126,7,0
The Da Vinci Code,Sony,217536138,45447,tt0382625,591,"","","","","","",49,3.12,da vinci code  the (2006),drama|mystery|thriller,7,"","",nm0000158,tt0382625,movie,The Da Vinci Code,The Da Vinci Code,451172,nm0000165,"nm0326040,nm1467010",actor,Tom Hanks,2006,149,6,0
House of Flying Daggers,SPC,11050094,8983,tt0385004,9550,movie,115219,10,1,7.5,pg-13,25,3.52,house of flying daggers (shi mian mai fu) (2004),action|drama|romance,1,2005,1,nm0955471,tt0385004,movie,House of Flying Daggers,Shi mian mai fu,115154,nm0955443,"nm1104077,nm0910841,nm0955443",actress,Ziyi Zhang,2004,119,7,0
Sicko,LGF,24540079,53894,tt0386032,2359,movie,76506,10,1,8.0,pg-13,14,3.71,sicko (2007),documentary|drama,"",2007,7,nm0601619,tt0386032,movie,Sicko,Sicko,76482,nm0601619,nm0601619,self,Michael Moore,2007,123,8,0
Seed of Chucky,Rog.,17083732,8967,tt0387575,11249,movie,48985,10,1,4.9,r,4,1.75,seed of chucky (child's play 5) (2004),comedy|horror,"",2004,11,nm0000236,tt0387575,movie,Seed of Chucky,Seed of Chucky,48840,nm0238841,nm0238841,actress,Jennifer Tilly,2004,87,4,0
A Lot Like Love,BV,21845719,33145,tt0391304,8976,movie,70761,10,1,6.6,pg-13,6,3.0,lot like love  a (2005),comedy|drama|romance,"",2005,4,nm0005110,tt0391304,movie,A Lot Like Love,A Lot Like Love,70743,nm0170719,nm0528260,actor,Ashton Kutcher,2005,107,6,0
The Skeleton Key,Uni.,47907715,34532,tt0397101,9913,"","","","","","",4,3.0,skeleton key  the (2005),drama|horror|mystery|thriller,"","","",nm0005028,tt0397101,movie,The Skeleton Key,The Skeleton Key,120922,nm0812200,nm0472567,actress,Kate Hudson,2005,104,6,0
The Island,DW,35818913,34319,tt0399201,1635,movie,324143,10,1,6.8,pg-13,31,3.35,island  the (2005),action|sci-fi|thriller,"",2005,7,nm0424060,tt0399201,movie,The Island,The Island,323941,nm0000881,"nm1047021,nm0476064,nm0649460",actress,Scarlett Johansson,2005,136,6,0
The Sisterhood of the Traveling Pants,WB,39053061,33669,tt0403508,9779,movie,64029,10,1,6.5,pg,7,3.07,sisterhood of the traveling pants  the (2005),adventure|comedy|drama,"",2005,6,nm0848554,tt0403508,movie,The Sisterhood of the Traveling Pants,The Sisterhood of the Traveling Pants,63957,nm0477129,"nm1569351,nm0258286,nm0151358",actress,Amber Tamblyn,2005,119,6,0
Million Dollar Baby,WB,100492203,30707,tt0405159,70,movie,710647,10,1,8.1,pg-13,52,3.85,million dollar baby (2004),drama,1,2005,1,nm0005476,tt0405159,movie,Million Dollar Baby,Million Dollar Baby,709879,nm0000142,"nm0353673,nm0101801",actress,Hilary Swank,2004,132,8,0
Sky High,BV,63946815,34332,tt0405325,11459,movie,92869,10,1,6.3,pg,6,2.92,sky high (2005),action|adventure|children|comedy,"",2005,7,nm0000621,tt0405325,movie,Sky High,Sky High,92739,nm0593610,"nm1467549,nm0774792,nm0566407",actor,Kurt Russell,2005,100,6,0
Bad News Bears,Par.,32868349,34321,tt0408524,13341,movie,22488,10,1,5.8,pg-13,3,3.0,bad news bears (2005),children|comedy,"",2005,7,nm0000671,tt0408524,movie,Bad News Bears,Bad News Bears,22469,nm0000500,"nm0484111,nm0275629,nm0720135",actor,Billy Bob Thornton,2005,113,5,0
Nim's Island,Fox,48006762,58972,tt0410377,10488,movie,36452,10,1,6.0,pg,2,3.0,nim's island (2008),adventure|comedy|fantasy,"",2008,4,nm0000149,tt0410377,movie,Nim's Island,Nim's Island,36420,"nm0280814,nm0505662","nm0477279,nm0563394,nm0505662,nm0280814,nm1646537",actress,Jodie Foster,2008,96,6,0
